"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/divi-little-bay-beach-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/divi-little-bay-beach-resort","true"
"https://kindredtrips.com/resort/divi-village-golf-and-beach-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/divi-village-golf-and-beach-resort","true"
"https://kindredtrips.com/resort/drake-bay-getaway-resort-by-sandglass","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/drake-bay-getaway-resort-by-sandglass","true"
"https://kindredtrips.com/resort/dreams-acapulco-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-acapulco-resort-and-spa","true"
"https://kindredtrips.com/resort/dreams-aventuras-riviera-maya","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-aventuras-riviera-maya","true"
"https://kindredtrips.com/resort/dreams-bahia-mita-surf-and-spa-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-bahia-mita-surf-and-spa-resort","true"
"https://kindredtrips.com/resort/dreams-cap-cana-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-cap-cana-resort-and-spa","true"
"https://kindredtrips.com/resort/dreams-cozumel-cape-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-cozumel-cape-resort-and-spa","true"
"https://kindredtrips.com/resort/dreams-curacao-resort-spa-and-casino","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-curacao-resort-spa-and-casino","true"
"https://kindredtrips.com/resort/dreams-dominicus-la-romana","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-dominicus-la-romana","true"
"https://kindredtrips.com/resort/dreams-estrella-del-mar-mazatlan-golf-and-spa-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-estrella-del-mar-mazatlan-golf-and-spa-resort","true"
"https://kindredtrips.com/resort/dreams-flora-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/dreams-flora-resort-and-spa","true"
